,content
6578,"Thinking of returning to formal or informal education?

#Lifelonglearning is the ""ongoing, voluntary, and self-motivated"" pursuit of knowledge for either personal or professional reasons.

#lovelearning #learningcommunities #learningadventures https://t.co/VH0VU33Tmi"
6774,"Thank you to all the organisations who participated in our Ulster event today. Brilliant discussions on issues facing the region, exploring areas for support, &amp; how we can work collaboratively across the island to strengthen a culture of #LifelongLearning #SharedIsland https://t.co/gr7syFX5AA"
6796,Ideas for all island collaboration include building a culture of #LifelongLearning &amp; support &amp; capacity building for community education providers #SharedIsland @NeilandsColin https://t.co/KbPdvpNsD7
6800,"Needs and concerns of NI organisations identified through the research are outlined by @NeilandsColin: 
➡️Funding
➡️Recognition
➡️Visibility
➡️Support 
➡️Collaboration 
➡️Voice 
#SharedIsland #LifelongLearning https://t.co/fBZNoTZ5TI"
6806,We now have a real opportunity to support #CommunityEd in the region and look at funding opportunities to ensure those most in need get a quality learning experience - @DrNiamhOReilly #SharedIsalnd #LifelongLearning https://t.co/ImMbU6f42M
6810,Also some benefits as a result of COVID-19 including the development of blended learning options &amp; opportunities to increase inclusion and diversity #SharedIsland #LifelongLearning https://t.co/gr7syGeGs8
6815,#SharedIsland #LifelongLearning https://t.co/cuQGE479qt
6854,"Taking the time this morning to do a another training on bias, diversity and inclusion. Very thankful to @MaynoothUni to run these sessions to help me become more aware as a lecturer and mitigate unconscious bias. #EDI #LifelongLearning #PersonalGrowth"
6865,Full day of Customer Care for our @LVADublinPubs Diploma in Food &amp; Bar Management Diploma today with @marcthornton27 Lots of valuable information for improvement ecustomer experience. #lifelonglearning
6866,"Join us online from 2pm as we welcome #AdultLearning organisations from across Ulster to our regional meeting.

The event will focus on how we can improve the learning experience for all across this #SharedIsland

Register at: https://t.co/0Yc7Gejbhw

#LifelongLearning https://t.co/zjKTFbU8lH"
7010,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/L5EPTO3mwj
7149,We are looking forward to contributing to the @OECDEduSkills Skills Strategy @HEA @Patter2Vivienne #MicrocedsIE #Microcredentials #lifelonglearning https://t.co/mCnGbd65Wb
7166,Timely new Examination Project on Ireland’s #skills infrastructure.            https://t.co/OoHIN6VhpM and @OECDeduskills to carry out an Examination Project on  National Skills Strategy 2016-2025 #OECD #NCGE #lifelonglearning  https://t.co/I5zlziPUdw https://t.co/Kuq2a2hIe0
7187,"Get inspired this Friday!! 

Limerick #LearningAmbassadors participate in learning and events promoting learning themselves and by so doing inspire and empower others to take part in learning activities. 

#lovelearning #lifelonglearning #limerickfestival  #learningcommunities https://t.co/e2JDJE6eJ4"
7199,Insightful answers from @mbrownz to  some of the questions posed by #Microcredentials4LabourMarket at @Cedefop today #lifelonglearning #MicrocredsIE https://t.co/3niFamHABM
7202,This is great news as @OECDEduSkills recognises &amp; encourages critical role of #Guidance in #lifelonglearning. @AnthonyMannOECD @NCGEGuidance https://t.co/EFTFLg9nIc
7258,We visited the @IUAMicroCreds @UL Project Lead Dr. Sarah Brady yesterday to catch up on all the exciting progress underway by the team @GPS_UL - such a beautiful campus! #MicroCredsIE #lifelonglearning https://t.co/steOZkcLwf
7259,"Would you like to engage in 
lifelong learning?

Here are some tips on how to become a lifelong learner.

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/LMhxrFTnrb"
7275,Thanks for the socially distanced meet up @MagsArnold.Exciting developments in @UCC for  #microcredentials and #lifelonglearning #MicroCredsIE https://t.co/W02RUaP2x3
7276,Early start this morning for this important @Cedefop Microcredentials conference #Microcredendtials4LabourMarket #MicroCredsIE #lifelonglearning https://t.co/9gHo72RKPa
7279,"Really like this diagram! Thank you @ellen_boeren 👏👏
#LifelongLearning https://t.co/Xt01w4awOF"
7320,"Very best of luck to all speakers tomorrow, but especially to Literacy Organiser @mariereilly111 #lifelonglearning @ThisisFet https://t.co/yWfZBORsbm"
7345,Fantastic discussions &amp; insights so far at our Trinity Micro-credentials Community of Practice event. Our collective thoughts on the key features of #Micro-credentials are captured below. What would you add? @tcddublin @IUAMicroCreds #flexible  #lifelonglearning #highereducation https://t.co/HjnIxQfExg
7355,@IUAMicroCreds on tour! Great to hear all the fantastic progress being made @UCC by Project Lead @MagsArnold this morning on micro-credentials! #MicroCredsIE #lifelonglearning https://t.co/Hn5W3mYZpz
7356,@IUAMicroCreds Best of luck to all @tcdmicrocreds with the Community of Practice Event! Great lineup of speakers! #TCDMicrocredsCoP #microcredsIE #lifelonglearning
7363,Micro-credentials learners are the centre of all we do. We are excited to hear their observations and feedback in this next session #TCDMicrocredsCoP #MicroCredsIE #lifelonglearning https://t.co/f1Q6v7Y7WP
7366,"#FlexibleLearning is not the same for everyone.

To be successful in promoting #LifelongLearning for all, it is important to design learning that suits the individual. 

#LearnerPathways #EAAL https://t.co/OuQc4dVQW6"
7367,"Dr. Fintan Sheerin, Head of @TCD_SNM, shared with the audience that his school became involved in Micro-credentials as a way to offer opportunities for nursing professionals to advance their specialist knowledge in a flexible way #TCDMicrocredsCoP #lifelonglearning #Nursing https://t.co/gGvBRId42k"
7370,Speaking at our #TCDMicrocredsCoP event this morning Dr. Christian Friedl of @fh_joanneum noted that Micro-credentials have the potential to serve as a gateway to further higher education opportunities #lifelonglearning #highereducation https://t.co/crNJcDI2Nl
7376,"@IrishWheelchair @NGOZILEE @DonegalETB @Age_Opp @nuigalway @DearbhailLawles ""No two people are on the exact same journey""
- Imelda Gaffney (@IrishWheelchair) #LearnerPathways #EAAL
Imelda describes how lack of relevant supports inc. #FlexibleLearning options, can be a real barrier to #LifelongLearning opportunities for learners with physical disabilities"
7378,"1/Key conclusions from Prof @ellen_boeren's keynote at today’s AONTAS Lifelong Learning Conference.

🧵⬇️

#LearnerPathways #EAAL #LifelongLearning #EdChatEU https://t.co/TLaryRdESJ"
7379,"To generate participation in #LifelongLearning, the 3 cogs need to be up and running🔁

⬇️ Diagram from @ellen_boeren 

#LearnerPathways #EAAL #EdChatEU https://t.co/TLaryRdESJ https://t.co/t7u0Q44cmQ"
7466,"Does your child enjoy singing and stories in Irish?

Watch this video event for this year's #LifelongLearning Festival with Joanne and learn new song and story in Irish. 

Click here: https://t.co/rgn5uq5lvM 

#lovelearning #learningcommunities #learningadventures https://t.co/qCf6wOggMF"
7487,"❗️Upcoming events with AONTAS❗️

We hope you'll join us online, remember to register: https://t.co/3NUWVXpyAI

▶️#LifelongLearning Conference
▶️#AdultEducation in Ulster
▶️#CEN meeting QA Community of Practice
▶️The Adult Learner journal launch #ALJ2021

#EdChatIE https://t.co/hDztwnZ3FR"
7565,"“Live as if you were to die tomorrow. Learn as if you were to live forever.” 

Congratulations to @MTU_ie Prof Irene Sheridan on adding a BCL to her haul of doctorate and degrees!! 
Best wishes from all the team @extendedcampus! 👏

#lifelonglearning #smartypants #nowinnofee 😉 https://t.co/71HB6P7z6v"
7575,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/tmv1sqeZRj
7576,"Have you registered yet for the AONTAS #LifelongLearning Conference on Wednesday❓
🔗https://t.co/UgZDopD2MM 
Don't miss out! Join AONTAS and a range of high level speakers from across Ireland and Europe as we discuss equal access to learning.
#LearnerPathways #EAAL #EdChatIE https://t.co/ZzrqGn2jQB"
7726,Keep up to date with the latest developments from the@RPL_Irl National Recognition of Prior Learning Project #lifelonglearning https://t.co/btKvtydXtx
7759,"We just love this idea. Could you be a #learning ambassador for #BelfastLearningCity? Let us know

#lifelonglearning https://t.co/jP8BABDD1z"
7769,"Get inspired this Friday!!

#LearningAmbassadors are Limerick people who promote #lifelonglearning. The flagship event for this year's #LLLFestival gave a lovely insight into the important and inspirational role of the Learning Ambassadors. 

#lovelearning  #learningcommunities https://t.co/nFtdPSbH1r"
7804,Fascinating Q&amp;A webinar for the @ICGPnews Gynaecology in the Community Course...wealth of knowledge imparted...especially the pearls of wisdom from Maeve Durkan on PCOS - will undoubtedly enhance my practice #lifelonglearning 👩🏼‍⚕️
7835,"How can we strengthen the #AdultEducation sector &amp; improve the learning experience for all adult learners across the #SharedIsland?

We look forward to connecting with adult ed groups from across Ulster at the upcoming event:
🔗https://t.co/0Yc7GeAM94

#LifelongLearning https://t.co/tS4BNvhfNf"
7865,Great work ongoing @UL @GPS_UL #MicroCredsIE #lifelonglearning Register your interest at the link below! https://t.co/AEe8Fe08Ek
7880,"Considering returning to formal or informal education?

Here are some fantastic benefits of lifelong learning!

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/prpw5Zp0m6"
8065,"Interested in learning how to paint?

Take another opportunity to watch popular local artist, Keith O'Rahilly providing a brief introduction to painting still life. 
 
Click here- https://t.co/Y0mgx67XUt   

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/1bFth3o3r6"
8160,Great programme by @EADTU planned for 16th-19th November! #MicroCredsIE #lifelonglearning https://t.co/dUFPw1ZGCT
8163,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/bfNKtfLZTM
8331,Looking forward to the upcoming @EADTU event featuring @IUAMicroCreds @DrLynnRamsey - Link to register here! #lifelonglearning #MicroCredsIE #highereducation https://t.co/AsvGlCwbTY
8348,"@LearningLinkSCO Thanks for sharing our #LifelongLearning Event with your followers @LearningLinkSCO! 😀 
#EAAL"
8352,"Get inspired by our Learning Ambassadors this Friday!!

The #LearningAmbassadors are Limerick people from all walks of life, united by a common interest in promoting, developing and celebrating learning.

#lovelearning #lifelonglearning #limerickfestival #learningcommunities https://t.co/Em4bR123k5"
8364,"Check out AONTAS' research on the incredible value of #CommunityEducation, including the #CommunityEdCensus:

🔗https://t.co/OtXyGD9F29

#LifelongLearning"
8365,"⬇️ Interesting study (@Rethink_Ireland, @nuigalway) highlighting the value of alternative learning pathways, including #CommunityEducation.

Great to see reference to the amazing @an_cosan (#AONTASmember)!

#LifelongLearning #EdChatIE
https://t.co/h8mmYRkZDK"
8470,"Do you want to develop passion for learning but you don't know how to start?

Here are some tips on how to engage in lifelong learning.

#lovelearning #lifelonglearning #learningadventures #learningcommunities https://t.co/j0KqyVZyPC"
8537,Thanks to @GraceEdge &amp; @EavanOBrien for sharing progress on this important HCI project on RPL with #IUAMicroCreds @hea @THEA_Irl @IUA_Academic #lifelonglearning #microcredentials https://t.co/mzzN3NMNwp
8543,"Delighted to be given the opportunity to represent the @FAICoachEd  @UEFA Elite Youth B graduates at the @UEFA Share in Fitness for Football 
#lifelonglearning
#learnercentred
#UEFAcoaching https://t.co/LxylVIyKsJ"
8565,"Diverse learning pathways, offered via #AdultLearning, support marginalised &amp; vulnerable adults who have been previously excluded in formal education systems.
This is the focus of AONTAS' #LifelongLearning Event (which closes the #EAAL 2020-21 project):
🔗https://t.co/UgZDopUDEk https://t.co/3OWB01qByZ"
8569,"Get the new year off to a great start @MTU_ie with these @HEA_Skills  #Sprinboard+ programmes ranging from Level 6 - Level 9.
#SkillsThatWork #lifelonglearning 
#SucceedingTogether https://t.co/7I0psKw79t"
8584,Exciting work happening with @THEA_Irl @GraceEdge RPL project! Great to hear progress and achievements in this important project. @IUAofficial @IUA_Academic #lifelonglearning #RPL https://t.co/g1nRZ0OLHh
8593,"What an absolute pleasure to have been able to share positive learning stories this morning! An amazing achievement for such excellent role models for future learners

#BelfastLearningCity
#lifelonglearning https://t.co/OgtW32eUjC"
8615,"Inspiring ""Conversations with Learners""!
#LearnerVoice
Emad, Pat, Catherine, Anna &amp; Lylian shared their different learning journeys.
Central to each journey was the presence of ❗️strong support networks❗️
💚#LifelongLearning provides safe, welcoming environments for all #EdChatIE https://t.co/2XIatUojER"
8680,"Join us tomorrow online to celebrate #lifelonglearning  

#BelfastLearningCity https://t.co/79AqiR8Cja"
8686,"Great Steering Group planning session held at South Court Hotel this morning with facilitator Sinéad Doody; reviewing our achievements to date &amp; plans for 2022, it is wonderful reconnect in person.👍👋 #learningcities  #unesco #lifelonglearning #learningcommunities #strategicplan https://t.co/MM8HKQt7YQ"
8708,"#LifelongLearning #EAAL 
🔗https://t.co/UgZDopD2MM https://t.co/3ndTbaJHYu"
8710,"@ellen_boeren We're looking forward to it @ellen_boeren! Thank you for sharing our #LifelongLearning event with your followers 😊 
#EAAL"
8723,"What is the contribution of #LifelongLearning to #ClimateAction❓
As #COP26  continues, consider the voices of adult learners like Niamh, who reflects on how her studies sparked her interest in #sustainability. #LearnerVoice
Read Niamh's story: https://t.co/vLI9CaJs5t
#SDG4 #SDGs https://t.co/0GOVfeeBnR"
8745,"Interested in learning how to paint?

Take another opportunity to watch popular local artist, Keith O'Rahilly providing a brief introduction to painting still life.  

Click here - https://t.co/J099fKJMB9 

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/7Sfcpx8vHj"
8844,"Are you ready to celebrate different pathways to learning? Join us online on Wednesday as the The Irish Network of Learning Cities (INLC) proudly presents ‘Conversations with Learners’
#BelfastLearningCity #lifelonglearning 
#learningcity

https://t.co/V5xEs6Fczo"
8858,"Our colleagues @LearnWorkUK have launched their 25th annual #AdultLearning participation survey findings (see thread below 🧵⬇️) #LifelongLearningWeek 

""We need a collective effort to build a culture of learning and make this the #LifelongLearning century.""
- @Stephen_EvansUK https://t.co/K6pfsEQJWJ"
8862,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/1skCOj5K92
9032,"AONTAS staff attended @_IHREC's meeting ⬇️ #EqualityAction
We will engage with the Equality Acts review, working with adult &amp; #CommunityEducation organisations across Ireland to represent the experiences &amp; needs of adult learners, promoting the right to quality #LifelongLearning. https://t.co/aj7rtmhh9g"
9040,"Time to register for AONTAS' upcoming events! 
🔗https://t.co/3NUWVXpyAI
🗓️ #STARAwards2022 Information Webinar
🗓️ #CEN Meeting
🗓️ #LifelongLearning Event
🗓️ Adult Education in Ulster - Reconnect, Reflect, Reimagine
🗓️ #CEN QA Community of Practice
🗓️ #AdultLearnerJournal launch https://t.co/mmBJK8N6QY"
9071,"Get inspired by our #LearningAmbassadors this Friday!!

Learning Ambassadors are Limerick people who promote lifelong learning in their workplaces, homes and communities by sharing their own #lifelonglearning stories.

#lovelearning #limerickfestival #learningcommunities https://t.co/vNLQKg7dOf"
9186,Great engagement at the @IUAMicroCreds workshop. Thanks @EADTU for organising such a stimulating programme #ihe2021 #microcredentials #lifelonglearning https://t.co/Ve7Ip3tRBq
9190,"Looking for a new hobby or interested in learning new skills?

Here are some of the types of lifelong learning initiatives that you can engage in.

#lovelearning #lifelonglearning #learningadventures #learningcommunities https://t.co/YXWfKPBDdH"
9391,"""The UN #COP26  climate conference is an opportunity not only to galvanize political leadership but also to reflect on the role of education &amp; the contribution of #LifelongLearning to climate action""
⬇️check out this recent blog post from @paulstanistreet #EdChatIE #ESD #Climate https://t.co/LvlVR6HBzx"
9393,"Interested in art?

Watch this lovely video event with Art Historian, Dr. Deirdre Kelly delivering the second of two-part talk on the Irish artists known as ""The Irish Impressionists""
Click here: https://t.co/zFvrSNbeOy  

#lifelonglearning #learningcommunities #learningadventure https://t.co/235JmegtmM"
9475,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/DU3qntOoIr
9480,Looking forward to this new series from @TLRHub and @nearfm! Everyone's learning journey is different 😃 #LifelongLearning https://t.co/t6sL9fZipH
9481,"Catch up on all the news in #LifelongLearning, read AONTAS' latest newsletter:
🆕https://t.co/UGrApS6Sxj
Features a spotlight piece on 2021 STAR Award highly commended project-💫@bfastmet's Childhood Studies Girdwood Level 2 Childcare💫

❗️ #STARAwards2022 nominations are OPEN ❗️ https://t.co/dgaKXT7kAa"
9608,Huge thanks to @FAICoachEd for the opportunity to be part of this fantastic course. Delighted to successfully complete another badge on my Coaching journey. @UEFA @FAIreland @NiallORegan29  #lifelonglearning https://t.co/ePgQ7ZobWL
9648,Delighted to Continue the coaching journey by completing the UEFA Youth B licence 📚✅⚽️ big thanks to @FAICoachEd for the help and guidance along the way #lifelonglearning https://t.co/npe132XH2S
9663,"Congratulations to the 🔟 #LearningCities receiving UNESCO Learning City Awards, inc. @DubLearningCity &amp; @BelfastLearning! 🏆
We've enjoyed learning about #LearningCities2021.
Visit https://t.co/gddu6c1utn for inspiring accounts of #LifelongLearning empowering citizens globally. https://t.co/QGD57H6xQY"
9677,"Get inspired by our #LearningAmbassadors this Friday!!

Learning Ambassadors are Limerick people who promote #lifelonglearning in their workplaces, homes and communities by sharing their own lifelong learning stories.

#lovelearning #limerickfestival #learningcommunities https://t.co/d79mVNHT04"
9678,"Amazing @bfastmet 👏🏻👏🏻👏🏻 where my nursing journey began, a very anxious mature student but the team were incredibly supportive, especially when baby number 6 became an unexpected addition to my 
clan💚
#LifelongLearning #MakeItAtTheMet https://t.co/GtbD8ytPSQ"
9757,"3/Nominations for #STARAwards2022 are open. 💫
Winners will be announced during the Festival in March 2022.
Visit AONTAS' website for more information &amp; to nominate a project: 
🔗https://t.co/mwW88PJ2Ws 

#LifelongLearning #AdultLearning #EdChatIE https://t.co/G4JzpXjp52"
9782,"Thinking of returning to formal or informal education?

Here are four fantastic social benefits of lifelong learning.

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/LELDFah4Gv"
9801,Congratulations to @BelfastLearning on achieving the Learning City Award 2021. Brilliant achievement and so well deserved! Great recognition for outstanding progress in #lifelonglearning.  👏👏🏆👋#earningcities2021 🌎 https://t.co/TDLBBzuVIb
9841,"Delighted to catch the end of the @NCIRL 'Antiracism and UDL in Irish Further &amp; Higher Education' seminar this evening... @FritzTesha spoke about #UDL as ""designing to eliminate barriers"" #inclusion #lifelonglearning 👍"
9906,"Get the new year off to a great start with these  @HEA_Skills #Sprinboard+ programmes ranging from Level 6 - Level 9👇
#SkillsThatWork #lifelonglearning #SucceedingTogether https://t.co/7I0psKw79t"
9925,"Congratulations to our friends @BelfastLearning! 👏🎉
#LifelongLearning https://t.co/wGc4moSQlN"
9928,"We have won the UNESCO Learning City Award! 
""Belfast has demonstrated remarkable achievement...The city strives to build a culture of #lifelonglearning for all."" We are absolutely thrilled

#learningcities2021 #BelfastLearningCity @UIL"
9938,Congratulations to our friends @DubLearningCity! 👏🎉 #LifelongLearning https://t.co/QShJz2NfF3
10028,"Interested in art?

Watch this lovely video event with Art Historian, Dr. Deirdre Kelly delivering the first of two-part talk on the Irish artists known as ""The Irish Impressionists"".
Click here: https://t.co/SAsFc8kCxI 

#lifelonglearning #learningcommunities #learningadventures https://t.co/rvEeBslECJ"
10070,What I've learned from the #UDLbadge so far this year is that #UDL implementation is critical as we aspire to create a fully inclusive learning environment and encourage #lifelonglearning in our communities - we need #engagement &amp; #inclusion to tackle #DigitalDivide @aheadireland https://t.co/h3KPOLIUSe
10280,Brilliant evening with @pmlegend57 &amp; @FAICoachEd  on the final presentations for our UEFA Youth Licence. Well done to everyone on their hard work over the last few months ⚽️💚⚽️ #lifelonglearning https://t.co/rymBUtLAw4
10281,Great evening presenting and discussing all things football with likeminded coaches on the @UEFA youth B licence @FAICoachEd #lifelonglearning 📚⚽️ https://t.co/rkDuHP2pjC
10345,"Get inspired by our Learning Ambassadors this Friday!! 

Limerick Learning Ambassadors are important as they can help put a friendly face on organisations involved with learning.

#lovelearning #lifelonglearning #limerickfestival #learningambassadors #learningcommunities https://t.co/MQBga1zCox"
10356,"🚨MAEDF Deadline Approaching🚨
#CommunityEducation groups local to @CityofDublinETB should submit an application to the Mitigating against Educational Disadvantage Fund (2nd round) by Sunday, 24th October 2021. 
#AONTASmember #LifelongLearning #MAEDF @SOLASFET @DeptofFHed https://t.co/4FbKZuDLds"
10439,"Fantastic project to be involved in, great to see the level of interest and engagement that exists nationally for micro-credentials #MicroCredsIE Well done to all today! @IUAMicroCreds #highereducation #lifelonglearning #microcredentials https://t.co/9hmUDUQIl7"
10456,"I found a massive bag of Traveller focused reports that I’d forgotten I had just in time for writing my dissertation, including these beauts- worked on by the ever impressive @tinkerboy 
#BelfastTravellers #LifeLongLearning https://t.co/dAiTJmnvcI"
10457,"Considering returning to formal or informal education?

Here are some fantastic benefits of learning new skills!

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/7R0wFVajER"
10548,"And we're off!!
Delighted to welcome AONTAS members online from across Ireland for today's 51st AONTAS Annual General Meeting. Looking forward to AONTAS members electing new #AONTASBoard members 🗳️ &amp; hearing from our keynote @dreddiemurphy.
#AONTASAGM #AGM2021 #LifelongLearning https://t.co/IVP5QV0grS"
10648,"⭐️ ""Uplifting, moving, positive, celebratory” - that's how a previous STAR Awards participant described the process. ⭐️
AONTAS' #STARAwards2022 will recognise excellence in #AdultLearning. Nominate your project today: https://t.co/mwW88PJ2Ws

#WeAreALE #EdChatIE #LifelongLearning https://t.co/1JbNt1qpw8"
10651,"Today we are delighted to share this great video from the archives.  

So take the opportunity and watch highlights of Lifelong Learning Festival 2017 with us.

https://t.co/ZFhzPlx7SD 

#lovelearning #lifelonglearning #learningcommunities #learningadventures"
10676,@bianneroche @KateJones_teach And before you know it @bianneroche the collection gets so big it spreads from the home office to the spare room 🙈 #lifelonglearning #Education #Learning #Teaching #Teamddletb https://t.co/M7n8UAlX9F
10727,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/zzc8QhodEO
10791,"Vlog 291 - Lifelong learning through the PhD https://t.co/CmubeO2umI via @YouTube

Professor @tarabrabazon reflects on completing her fourth (!) #Masters

Essential viewing for all interested in #HigherEducation and #LifeLongLearning, university and higher degrees more generally"
10802,"🚨24 hours left to register for the AONTAS AGM!🚨
Members must register by 12pm tomorrow (Monday, 18th October) to receive a link to vote 🗳️
Register here: https://t.co/AYQR0GyEQl
Annual Report 2020: https://t.co/ne5Eyy11xQ
See you online!
#AONTASAGM #AGM2021 #LifelongLearning https://t.co/96m2RTgarI"
10902,"📖Solidarity in the Face of the Pandemic, AONTAS Annual Report 2020: https://t.co/ne5Eyy11xQ
""In reflecting on the year, we will bring forward the learning &amp; steadfastly strive to address the impact of COVID-19 on adult learners"" - AONTAS CEO @DrNiamhOReilly 
#LifelongLearning https://t.co/qRjxHQ5i4A"
10953,"Get inspired by our Learning Ambassadors this Friday!! 

Learning Ambassadors can promote the idea of lifelong learning in their own communities, workplaces and neighbourhoods.  

#lovelearning #lifelonglearning #limerickfestival #learningambassadors #learningcommunities https://t.co/YlYebL57JX"
11071,"If you want another positive way to improve your life,
then learn something new every day!!!

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/Q7GPzJ3eio"
11076,DAI is delighted to be delivering our Dyslexia Assessment of Need Course to @LouthMeathETB  educators this October #DyslexiaAwarenessMonth #lifelonglearning #FET #inclusion https://t.co/YNhXYdflmh
11136,"Inspiring inaugural #IAEM21 #ultrasound course for consultants at TUH today. Technical &amp; cognitive skills training. Thank you to our enthusiastic consultant colleagues, the models, mindray &amp; fantastic faculty @cianmcdermott @pounderexpress @RachelGilmore12 👏 #lifelonglearning https://t.co/32cjCsp0GP"
11146,I'm such a fan of #lifelonglearning #learningwaves #broadcastlaw
11253,Great meeting @skillsmidwest #upskilling #skills #lifelonglearning #engagement #industry #collaboration @MICLimerick @LCETBSchools @TUS_Midwest @UL https://t.co/6W9VspZyKo
11266,"About a year ago, over 110 participants across the #LifelongLearning sector met online for a 'virtual visit' of #CommunityEducation  🇮🇪 
This event featured inputs from adult learners, @SimonHarrisTD, @andrewbrownlee7, Prof Tom Collins, @TeeFarr &amp; more: https://t.co/iRNw2GBmWu https://t.co/EyAdZSllSo"
11319,"#STARAwards2022 nominations are ❗️OPEN❗️
Deadline: 22nd November 2021 
Help us to spread the word, please like &amp; retweet the tweet below ⬇️ #LifelongLearning 
@ESF_Ireland @EPALE_IE @tara365learning @EdChatIE @CornNetworkD8 @BelfastLearning @learningcityds @LimkLearnFest https://t.co/uGgL5cup2R"
11341,"The AONTAS STAR Awards nominations are open!
🌟🌟🌟 #STARAwards2022
Now in their 16th year, the awards recognise outstanding work in #AdultLearning.
Nominate your project by 22nd November. Nominations are welcomed across 5⃣ categories.
➡️https://t.co/mwW88PJ2Ws
#LifelongLearning https://t.co/VrEjCXXzBa"
11342,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/WiATknY9Il
11373,"My former job involved promoting &amp; facilitating  #LifeLongLearning Never stop trying to learn new stuff, never rest on your laurels. Pity the database eventually gets annihilated, but it’s your job as a learner to help pass message of the learning. 👁 #MentalHealthAwarenessWeek"
11412,Learning #coding #CSS #JS #HTML #Python #SQL #PHP simultaneously &amp; putting it into some practice fun is great for the ‘mature’ brain. Addles it just nicely enough to put it into drive gear. Never give up on #LifeLongLearning
11510,"Get inspired by our Learning Ambassadors!!

#LearningAmbassadors are Limerick people who promote #lifelonglearning in their workplaces, homes and communities by sharing their own lifelong learning stories.   
                
#lovelearning #limerickfestival #learningcommunities https://t.co/M0g516ZzsE"
11588,"SAVE THE DATE 🗓️
The AONTAS Lifelong Learning Conference will take place on the 24th and 25th November 2021.
👀 Look out on https://t.co/UH1ZlLnznT for more information about the conference to be announced in the coming weeks.
#EAAL @EUErasmusPlus #LifelongLearning #ACE https://t.co/PaQzwAzecW"
11590,"Thinking of upgrading or improving your current skill set?

Here are rewards that you can reap from professional development.

#lovelearning #lifelonglearning #learningcommunities #learningadventures https://t.co/gkRRvTJLpL"
11700,"What a way to start your day with ""Signs of Positivity"" Certainly gave us a boost this morning. Take a look!

#BelfastLearningCity
#IrishLearningNetwork
#lifelonglearning https://t.co/Qf2CzZCQdl"
11753,"Take another opportunity to watch the West Limerick “Signs of Positivity” celebration video presented at this year's festival.

Click here: https://t.co/Zr2ZUK4TRh 

#lovelearning #learningcommunities #learningadventures #lifelonglearning https://t.co/MkF5SBPeZH"
11823,"Happy #WorldTeachersDay to all &amp; especially to the educators delivering #AdultEducation courses! 👏👏
You have provided crucial support for adult learners during the COVID-19 pandemic. 

#LifelongLearning #WorldTeachersDay2021 https://t.co/g3r0QTeDGO"
11910,"The AONTAS AGM 2021 will offer members space to reflect on the achievements and the immense effort of educators and learners over the last year.
See you online! (20th October 2021, 12 noon - 1.45pm) 🔗https://t.co/AYQR0Gh3rL
#AONTASAGM #AGM2021 #AONTASmember #LifelongLearning https://t.co/wmW9dK9301"
11912,#lovelearning #lifelonglearning #learningcommunities #learningadventures #quoteoftheday https://t.co/ck6KKRpXgq
11926,"Registration for the #AONTASAGM 2021 closes on Monday 18th October @ 12pm.
The AGM takes place on 20th October 2021.
For information on registration, voting &amp; key documents including our 2020 Annual Report, visit ➡️ https://t.co/omf8DZWbnh
#AGM2021 #AONTASmember #LifelongLearning https://t.co/je6zTSC1ae"
12108,#learningambassadors #lifelonglearning  #learningcommunities #learningadventures https://t.co/AYGf4duD1h
12110,High praise for Limerick's Lifelong Learners. Get inspired by our Leaning Ambassadors this Friday! #lifelonglearning #learningcities #learningcommunities #learningadventures #learningambassadors @LimClareETB @LcenNetwork https://t.co/OBW0jAFVdX
12112,"We were delighted to acknowledge our Learning Ambassadors from Southill at @LimClareETB's Further Education and Training Centre, Kilmallock Road Campus last week. The presentation was a photobook profiling their involvement in the project.
 #lifelonglearning #learningcommunities https://t.co/sQ5E7XDQPi"
12114,Northern Ireland Faces Persistent Decline in Lifelong Learning Participation ➡️ https://t.co/6oBKVm02IE #SharedIsland #LifelongLearning https://t.co/xGh9kEP0Rs
12115,"Northern Ireland Faces Persistent Decline in #LifelongLearning Participation
🆕➡️https://t.co/aaWJREq1hx
This report:
▶️highlights issues faced by NI #CommunityEducation providers
▶️indicates how the sector can work together to support greater #EducationalEquality
#SharedIsland https://t.co/uQV2GJj7Fq"
